keys,en,cs_CZ,de_DE,fi_FI,es_ES,fr_FR,pl_PL,pt_PT,se_SE,eo,du_NL,ro_RO,it_IT
LOADING_AVATARS_FAILED,Loading avatars failed.,,Avatare konnten nicht geladen werden.,Pelaajakuvien lataaminen epäonnistui.,Error al cargar avatares.,Chargement avatars échoué.,,Falha ao carregar avatares.,Inläsning av avatarer misslyckades.,Ŝargo de roluloj malsukcesis.,Laden van avatars gefaald.,Atentie! Incarcarea avatarurilor a esuat.,Caricamento avatar fallito.
HERRINGS,herrings,,Heringe,silakkaa,arenques,harengs,,arenques,sillar,haringoj,haringen,heringi,aringhe
SEC,sec,,Sek,sek,seg.,sec,,seg.,sek,sek,sec,sec,sec
1ST,1st,,1.,1.,1.º,1e,,1º,1.,1a,,,1º
2ND,2nd,,2.,2.,2.º,2e,,2º,2.,2a,,,2º
3RD,3rd,,3.,3.,3.º,3e,,3º,3.,3a,,,3º
4TH,4th,,4.,4.,4.º,4e,,4º,4.,4a,,,4º
5TH,5th,,5.,5.,5.º,5e,,5º,5.,5a,,,5º
6TH,6th,,6.,6.,6.º,6e,,6º,6.,6a,,,6º
7TH,7th,,7.,7.,7.º,7e,,7º,7.,7a,,,7º
8TH,8th,,8.,8.,8.º,8e,,8º,8.,8a,,,8º
9TH,9th,,9.,9.,9.º,9e,,9º,9.,9a,,,9º
10TH,10th,,10.,10.,10.º,10e,,10º,10.,10a,,,10º
UNKNOWN,Unknown,,Unbekannt,Tuntematon,Desconocido,Inconnu,,Desconhecido,Okänd,Nekonata,,,Sconosciuto
AUTO,auto,,automatisch,,,,,,,,,,
